goos: linux
goarch: amd64
cpu: AMD Ryzen 7 PRO 5850U with Radeon Graphics     
BenchmarkStringsClosures-16    	     691	   1720552 ns/op	  480738 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     680	   1741684 ns/op	  480748 B/op	   10031 allocs/op
BenchmarkStringsClosures-16    	     638	   1744943 ns/op	  480795 B/op	   10033 allocs/op
BenchmarkStringsClosures-16    	     669	   1753528 ns/op	  480759 B/op	   10031 allocs/op
BenchmarkStringsClosures-16    	     690	   1734159 ns/op	  480736 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     690	   1775317 ns/op	  481125 B/op	   10031 allocs/op
BenchmarkStringsClosures-16    	     691	   1748238 ns/op	  480738 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     684	   1743795 ns/op	  480744 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     660	   1821751 ns/op	  480770 B/op	   10031 allocs/op
BenchmarkStringsClosures-16    	     675	   1742124 ns/op	  480753 B/op	   10031 allocs/op
BenchmarkStringsClosures-16    	     686	   1787389 ns/op	  480743 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     666	   1833325 ns/op	  480762 B/op	   10031 allocs/op
BenchmarkStringsClosures-16    	     668	   1748274 ns/op	  480760 B/op	   10031 allocs/op
BenchmarkStringsClosures-16    	     682	   1785436 ns/op	  480746 B/op	   10031 allocs/op
BenchmarkStringsClosures-16    	     655	   1803402 ns/op	  480775 B/op	   10032 allocs/op
BenchmarkStringsClosures-16    	     687	   1788672 ns/op	  480742 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     682	   1777201 ns/op	  480747 B/op	   10031 allocs/op
BenchmarkStringsClosures-16    	     681	   1760672 ns/op	  480749 B/op	   10031 allocs/op
BenchmarkStringsClosures-16    	     694	   1774780 ns/op	  480735 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     681	   1754389 ns/op	  480742 B/op	   10031 allocs/op
BenchmarkStringsClosures-16    	     650	   1757662 ns/op	  480780 B/op	   10032 allocs/op
BenchmarkStringsClosures-16    	     685	   1791965 ns/op	  480743 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     685	   1744373 ns/op	  480742 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     686	   1788011 ns/op	  480740 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     660	   1817333 ns/op	  480768 B/op	   10031 allocs/op
BenchmarkStringsClosures-16    	     642	   1746905 ns/op	  480791 B/op	   10032 allocs/op
BenchmarkStringsClosures-16    	     690	   1731143 ns/op	  480738 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     697	   1783912 ns/op	  480730 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     687	   1774346 ns/op	  480740 B/op	   10030 allocs/op
BenchmarkStructs-16            	     340	   3401894 ns/op	  235303 B/op	       0 allocs/op
BenchmarkStructs-16            	     312	   3430737 ns/op	  256420 B/op	       0 allocs/op
BenchmarkStructs-16            	     309	   3329346 ns/op	  258909 B/op	       0 allocs/op
BenchmarkStructs-16            	     303	   3458471 ns/op	  264036 B/op	       0 allocs/op
